Yr_Sold,1st_Flr_SF,Bedroom_AbvGr,Bldg_Type,Bsmt_Full_Bath,Bsmt_Half_Bath,Central_Air,Condition_1,Condition_2,Electrical,Exter_Cond,Exter_Qual,Exterior_1st,Exterior_2nd,Foundation,Full_Bath,Functional,Gr_Liv_Area,Half_Bath,Heating,Heating_QC,House_Style,Kitchen_AbvGr,Kitchen_Qual,Land_Contour,Land_Slope,Lot_Area,Lot_Config,Lot_Shape,MS_SubClass,MS_Zoning,Mas_Vnr_Type,Mo_Sold,Neighborhood,Overall_Cond,Overall_Qual,Paved_Drive,Roof_Matl,Roof_Style,SalePrice,Sale_Condition,Sale_Type,Street,TotRms_AbvGrd,Utilities,Year_Built,Year_Remod/Add
2009-01-01,1058,3,1Fam,0.0,0.0,Y,RRNn,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1874,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,7500,Inside,Reg,60,FV,None,3,Somerst,5,8,Y,CompShg,Gable,220000,Normal,WD ,Pave,7,AllPub,2000,2001
2009-01-01,972,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,VinylSd,VinylSd,PConc,2,Typ,1811,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8470,Corner,Reg,60,FV,None,10,Somerst,5,8,Y,CompShg,Gable,235000,Normal,WD ,Pave,7,AllPub,2002,2002
2009-01-01,1621,3,1Fam,1.0,0.0,Y,PosN,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,2,Typ,1621,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9373,CulDSac,IR1,20,RL,BrkFace,6,NWAmes,7,5,Y,CompShg,Gable,213000,Normal,WD ,Pave,7,AllPub,1975,1975
2009-01-01,1116,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,2,Typ,1116,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,10140,Inside,Reg,20,RL,BrkFace,4,NWAmes,6,6,Y,CompShg,Hip,167900,Normal,WD ,Pave,6,AllPub,1974,1974
2009-01-01,1193,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,2,Typ,1193,0,GasA,Fa,1Story,1,TA,Lvl,Gtl,11050,Corner,IR1,20,RL,None,8,NWAmes,5,7,Y,CompShg,Gable,158000,Normal,WD ,Pave,5,AllPub,1975,1975
2009-01-01,1350,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,2,Typ,1350,0,GasA,TA,1Story,1,TA,Lvl,Gtl,10140,Inside,Reg,20,RL,BrkFace,8,NWAmes,5,6,Y,CompShg,Hip,165000,Normal,WD ,Pave,7,AllPub,1974,1974
2009-01-01,1378,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,2,Typ,2119,1,GasA,TA,SLvl,1,TA,Lvl,Gtl,10448,Corner,IR1,80,RL,BrkFace,8,NWAmes,6,6,Y,CompShg,Gable,158000,Abnorml,COD,Pave,7,AllPub,1972,1972
2009-01-01,896,4,Duplex,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,CBlock,2,Typ,1792,2,GasA,TA,2Story,2,TA,Lvl,Gtl,9000,FR2,Reg,90,RL,None,9,NAmes,5,5,Y,CompShg,Gable,136000,Normal,WD ,Pave,8,AllPub,1974,1974
2009-01-01,1002,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,MetalSd,MetalSd,CBlock,1,Typ,1002,0,GasA,TA,1Story,1,TA,Lvl,Gtl,8750,Inside,IR1,20,RL,BrkFace,8,NAmes,6,5,Y,CompShg,Gable,148500,Normal,WD ,Pave,5,AllPub,1970,1970
2009-01-01,1026,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,1,Typ,1026,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,7930,Inside,Reg,20,RL,None,7,NAmes,8,6,Y,CompShg,Gable,156000,Normal,WD ,Pave,5,AllPub,1969,2005
2009-01-01,1180,2,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,1,Typ,1180,1,GasA,TA,1Story,1,TA,Lvl,Gtl,7830,Inside,IR1,20,RL,None,3,NAmes,5,5,Y,CompShg,Gable,128000,Normal,COD,Pave,6,AllPub,1970,1970
2009-01-01,1050,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,1,Typ,1050,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,8510,Inside,IR1,20,RL,BrkFace,7,NAmes,7,5,Y,CompShg,Gable,143000,Normal,WD ,Pave,6,AllPub,1971,1971
2009-01-01,864,3,1Fam,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,VinylSd,VinylSd,CBlock,1,Typ,864,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7038,Inside,Reg,20,RL,None,9,NAmes,6,4,Y,CompShg,Gable,76500,Abnorml,WD ,Pave,5,AllPub,1970,1970
2009-01-01,864,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,Plywood,CBlock,1,Typ,864,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,6960,Inside,Reg,20,RL,None,11,NAmes,6,4,Y,CompShg,Gable,120500,Normal,WD ,Pave,5,AllPub,1970,1970
2009-01-01,864,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,Gd,TA,MetalSd,MetalSd,CBlock,1,Typ,864,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8120,Inside,Reg,20,RL,None,7,NAmes,7,4,Y,CompShg,Gable,124500,Normal,WD ,Pave,5,AllPub,1970,1970
2009-01-01,864,2,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,1,Typ,864,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,10500,FR2,Reg,20,RL,None,3,NAmes,6,4,Y,CompShg,Gable,97000,Abnorml,WD ,Pave,4,AllPub,1971,1971
2009-01-01,864,3,1Fam,0.0,0.0,Y,Norm,Norm,SBrkr,Gd,TA,VinylSd,VinylSd,CBlock,1,Typ,864,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,9000,FR2,Reg,20,RL,None,7,NAmes,7,4,Y,CompShg,Gable,130000,Normal,WD ,Pave,5,AllPub,1971,2006
2009-01-01,483,2,Twnhs,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,1,Typ,987,1,GasA,TA,2Story,1,TA,Lvl,Gtl,1680,Inside,Reg,160,RM,BrkFace,7,BrDale,5,6,Y,CompShg,Gable,111000,Normal,WD ,Pave,5,AllPub,1973,1973
2009-01-01,765,3,TwnhsE,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,1,Min1,1365,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2368,Inside,Reg,160,RM,None,5,BrDale,6,5,Y,CompShg,Gable,125000,Normal,WD ,Pave,7,AllPub,1970,1970
2009-01-01,630,3,Twnhs,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,2,Typ,1302,1,GasA,TA,2Story,1,TA,Lvl,Gtl,1680,Inside,Reg,160,RM,BrkFace,5,BrDale,5,5,Y,CompShg,Gable,112000,Abnorml,COD,Pave,6,AllPub,1971,1971
2009-01-01,483,2,Twnhs,1.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,1,Typ,987,1,GasA,TA,2Story,1,TA,Lvl,Gtl,1680,Inside,Reg,160,RM,BrkFace,7,BrDale,6,6,Y,CompShg,Gable,97000,Normal,WD ,Pave,5,AllPub,1972,1972
2009-01-01,483,2,Twnhs,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,HdBoard,HdBoard,CBlock,1,Typ,987,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,1680,Inside,Reg,160,RM,BrkFace,5,BrDale,8,6,Y,CompShg,Gable,118000,Normal,WD ,Pave,5,AllPub,1972,2007
2009-01-01,630,3,Twnhs,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,CemntBd,CmentBd,CBlock,2,Typ,1302,1,GasA,TA,2Story,1,TA,Lvl,Gtl,1680,Inside,Reg,160,RM,BrkFace,2,BrDale,7,5,Y,CompShg,Gable,119500,Normal,WD ,Pave,6,AllPub,1972,1972
2009-01-01,958,2,TwnhsE,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Plywood,CBlock,2,Typ,958,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4928,Inside,IR1,120,RL,None,10,NPkVill,6,6,Y,CompShg,Gable,143750,Normal,WD ,Pave,5,AllPub,1976,1976
2009-01-01,804,3,TwnhsE,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Brk Cmn,CBlock,2,Typ,1548,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2308,FR2,Reg,160,RL,None,9,NPkVill,5,6,Y,CompShg,Gable,146000,Normal,WD ,Pave,7,AllPub,1976,1976
2009-01-01,855,3,Twnhs,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Brk Cmn,CBlock,2,Typ,1456,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2280,FR2,Reg,160,RL,None,7,NPkVill,6,6,Y,CompShg,Gable,148500,Normal,WD ,Pave,7,AllPub,1976,1976
2009-01-01,1055,2,Twnhs,0.0,1.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Brk Cmn,CBlock,2,Typ,1055,0,GasA,TA,1Story,1,TA,Lvl,Gtl,2280,FR2,Reg,120,RL,None,8,NPkVill,5,7,Y,CompShg,Gable,123000,Normal,WD ,Pave,4,AllPub,1975,1975
2009-01-01,855,3,TwnhsE,0.0,1.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Brk Cmn,CBlock,2,Typ,1322,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2308,Inside,Reg,160,RL,None,6,NPkVill,5,6,Y,CompShg,Gable,147000,Normal,WD ,Pave,6,AllPub,1974,1974
2009-01-01,855,3,Twnhs,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Brk Cmn,CBlock,2,Typ,1456,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2349,Inside,Reg,160,RL,None,5,NPkVill,5,6,Y,CompShg,Gable,137900,Normal,WD ,Pave,6,AllPub,1977,1977
2009-01-01,804,3,TwnhsE,0.0,1.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Brk Cmn,CBlock,2,Typ,1548,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2364,Inside,Reg,160,RL,None,7,NPkVill,5,6,Y,CompShg,Gable,147000,Normal,WD ,Pave,7,AllPub,1978,1978
2009-01-01,855,3,Twnhs,0.0,0.0,Y,Norm,Norm,SBrkr,TA,TA,Plywood,Brk Cmn,CBlock,2,Typ,1441,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2289,Inside,Reg,160,RL,None,4,NPkVill,6,6,Y,CompShg,Gable,148500,Normal,WD ,Pave,7,AllPub,1978,1978
2009-01-01,855,3,TwnhsE,0.0,0.0,Y,Norm,Norm,SBrkr,TA,Gd,Plywood,Brk Cmn,CBlock,2,Typ,1456,1,GasA,TA,2Story,1,TA,Lvl,Gtl,2364,Inside,Reg,160,RL,None,4,NPkVill,5,6,Y,CompShg,Gable,138000,Normal,WD ,Pave,6,AllPub,1978,1978
